Bathrooms,Bedrooms,Beds,LocationName,NumGuests,NumReviews,Price,Rating,latitude,longitude,zipcode,pop2016,pop2010,pop2000,cost_living_index (US avg. = 100),land_area (sq.mi.),water_area (sq.mi.),pop_density (people per mile),number of males,number of females,prop taxes paid 2016,median taxes (with mortgage,median taxes (no mortgage),median house value,median houshold income,median monthly owner costs (with mortgage),median monthly owner costs (no mortgage),median gross rent,median asking price for vacant for-sale home/condo,unemployment (%),Number of Homes,Count of Abnb,Density of Abnb (%),Average Abnb Price (by zipcode),Average NumReviews (by zipcode),Average Rating (by zipcode),Average Number of Bathrooms (by zipcode),Average Number of Bedrooms (by zipcode),Average Number of Beds (by zipcode),Average Number of Guests (by zipcode)
1.0,1.0,1.0,Queens,2.0,40.0,55.0,N,40.7459,-73.83298,11355,83204.0,85871.0,83281,166.8,1.7,0.0,47850,39813,43390,0.8,4882.0,4616.0,585920.0,40046.0,2447.0,812.0,1351.0,531155.0,5.0,33281.6,82,0.246382385,83.62025316,40.24637681,4.707692308,1.160493827,1.217948718,1.62195122,1.62195122
2.0,2.0,2.0,San Diego,4.0,4.0,129.0,Y,32.70943,-117.15053,92101,37385.0,37095.0,27494,136.9,4.7,0.2,7926,21906,15481,0.9,4808.0,5069.0,538860.0,59582.0,2718.0,1002.0,1461.0,609160.0,4.8,14954.0,708,4.734519192,124.1310541,52.78267974,4.779187817,1.223011364,1.434782609,2.131355932,2.131355932
1.0,1.0,1.0,New York,2.0,72.0,102.0,Y,40.72645,-73.97874,10009,60656.0,61347.0,58595,160.5,0.6,0.0,98372,27044,33610,0.4,4847.0,1062.0,676711.0,63310.0,2291.0,234.0,1606.0,1153123.0,4.2,24262.4,59,0.243174624,117.362069,75.30357143,4.727272727,1.016949153,1.065217391,1.186440678,1.186440678
1.0,1.0,1.0,Atlanta,2.0,5.0,30.0,Y,33.7568,-84.37026999999998,30312,22786.0,19360.0,20221,98.5,3.4,0.0,6796,10824,11961,1.0,2455.0,1388.0,234413.0,44854.0,1656.0,502.0,1017.0,445032.0,6.4,9114.4,200,2.194329852,119.3686869,40.4,4.9375,1.375,1.602094241,1.925,1.925
1.0,1.0,1.0,New York,2.0,53.0,30.0,N,40.69439000000001,-73.96484,11205,45460.0,40366.0,35622,165.8,0.9,0.0,47923,20970,24489,0.5,3284.0,3937.0,705901.0,49405.0,2709.0,640.0,1270.0,905707.0,8.3,18184.0,120,0.65992081,109.4695652,51.62385321,4.774509804,1.2,1.256880734,1.575,1.575
1.0,1.0,1.0,New Orleans,2.0,29.0,69.0,Y,29.986320000000006,-90.06728000000003,70116,11761.0,11507.0,16688,102.7,1.3,0.1,9105,6321,5440,0.8,2543.0,2041.0,276478.0,32017.0,1874.0,554.0,919.0,203035.0,10.7,4704.4,703,14.94345719,94.17191977,83.96723869,4.823667712,1.211126961,1.524242424,2.06685633,2.06685633
1.0,1.0,1.0,Boston,2.0,5.0,36.0,N,42.30666,-71.06787,2121,28431.0,25978.0,25057,149.3,1.7,0.0,16290,12643,15786,0.6,2300.0,2991.0,410222.0,27405.0,2080.0,838.0,828.0,1307571.0,14.4,11372.4,12,0.105518624,68.08333333,31.66666667,4.75,1.0,1.25,1.333333333,1.333333333
1.0,2.0,3.0,Atlanta,6.0,57.0,80.0,Y,33.74869,-84.35996,30312,22786.0,19360.0,20221,98.5,3.4,0.0,6796,10824,11961,1.0,2455.0,1388.0,234413.0,44854.0,1656.0,502.0,1017.0,445032.0,6.4,9114.4,200,2.194329852,119.3686869,40.4,4.9375,1.375,1.602094241,1.925,1.925
1.0,1.0,1.0,San Francisco,2.0,297.0,169.0,Y,37.7665,-122.43606,94117,43944.0,39169.0,38738,156.4,1.7,0.0,26041,23111,20833,0.6,8333.0,4956.0,1205027.0,127338.0,3789.0,906.0,1952.0,1173153.0,4.2,17577.6,458,2.605588931,181.9954442,78.35,4.883838384,1.427927928,1.4302884619999998,1.653932584,1.653932584
1.0,1.0,1.0,San Francisco,2.0,141.0,99.0,N,37.77107,-122.44874,94117,43944.0,39169.0,38738,156.4,1.7,0.0,26041,23111,20833,0.6,8333.0,4956.0,1205027.0,127338.0,3789.0,906.0,1952.0,1173153.0,4.2,17577.6,458,2.605588931,181.9954442,78.35,4.883838384,1.427927928,1.4302884619999998,1.653932584,1.653932584
3.0,3.0,4.0,New Orleans,6.0,73.0,165.0,N,30.02346,-90.11291,70124,20988.0,16824.0,22951,100.2,6.7,1.1,3152,10095,10892,0.9,3892.0,3355.0,407225.0,90895.0,2258.0,767.0,1396.0,432662.0,3.0,8395.2,130,1.548503907,140.5581395,31.90825688,4.836633663,1.3,1.721311475,2.253846154,2.253846154
2.0,3.0,6.0,Miami,10.0,33.0,114.0,N,25.74563,-80.23461999999998,33132,11596.0,11165.0,5322,114.1,1.7,1.5,6799,6803,4794,1.1,4922.0,5435.0,481478.0,72916.0,2660.0,1259.0,1893.0,530742.0,3.3,4638.4,1634,35.22766471,115.1635572,37.41294643,4.791763792,1.317596567,1.584033613,2.14504284,2.14504284
2.0,3.0,3.0,New Orleans,6.0,3.0,222.0,N,29.97931,-90.10814,70119,37419.0,36228.0,50175,101.4,4.5,0.0,8368,19151,18268,0.6,1778.0,1139.0,244735.0,33708.0,1588.0,442.0,986.0,192284.0,6.8,14967.6,829,5.538630108,109.8454988,49.68790637,4.878179384,1.249698432,1.84828496,2.343787696,2.343787696
1.0,2.0,3.0,Brooklyn,6.0,173.0,149.0,Y,40.6825,-73.90818,11233,73194.0,67053.0,61955,172.7,1.3,0.0,54302,32614,40577,0.4,2766.0,2996.0,676489.0,37166.0,2572.0,756.0,1152.0,746172.0,7.7,29277.6,161,0.549908462,66.03797468,39.34482759,4.669064748,1.298136646,1.24516129,1.757763975,1.757763975
